transaction_id,customer_id,product_name,product_category,quantity,price,transaction_date,store_location,payment_method,discount_applied,revenue,transaction_month_year
3725a285-2a2b-4a80-b317-7c8041cd9b8b,7b1b9980-9d65-40fc-8ad6-6afaae4699e4,External Hard Drive,Computer Accessories,1.0,91.56,2023-03-16,Online,Credit Card,25.0,68.67,2023-03
0b0e3abe-fbe2-478b-b36f-6a5f95f27a9f,2bfcd9ca-a7e1-48ab-8a46-9b2804333a53,Unknown Product,Kitchen Appliances,1.0,1033.261128576143,2024-01-08,Online,Debit Card,10.0,929.9350157185287,2024-01
1799db48-2b73-440b-8128-695b67c4ed3e,ef7c2291-ee9e-43cb-99c3-59c9585ae9ea,Area Rug,Home Decor,1.0,230.94,2023-06-11,"Chicago, IL",Debit Card,0.0,230.94,2023-06
04c02725-0728-4832-af85-6fab7f92608c,60c35265-cfda-46d8-b802-cf851fe97f95,Blender,Small Kitchen Appliances,3.0,22.77,2023-04-20,Online,Cash,0.0,68.31,2023-04
c3c6a41b-d429-44e9-93aa-d4d0b4c8df18,7f606ddb-fc38-4ad7-821d-92126dbfdd6c,Google Nest,Smart Home Devices,1.0,287.0,2024-12-12,Online,Gift Card,0.0,287.0,2024-12
fecf13c7-9597-477d-9d0b-64900d16e2bb,9f695f10-e48b-48ea-b0c7-c823eaba0da2,Curtains,Home Decor,1.0,235.08,2024-07-23,Online,PayPal,0.0,235.08,2024-07
7540355f-5516-49cd-9433-7988d89e8c43,d98b8def-e767-4eb6-8a67-0e85cf20552f,Audio-Technica Turntable,Unknown Category,1.0,63.57,2023-04-22,Online,Debit Card,0.0,63.57,2023-04
c1d2e345-3528-4e49-88e3-cb0b2d943b16,65a51764-603a-44e0-aac0-4102519ccbfa,Nintendo Switch,Gaming Consoles,2.0,196.03,2024-06-19,Online,PayPal,0.0,392.06,2024-06
c943d78d-7445-4424-bf7f-f632412e696e,1ecee3f6-dc58-45c6-a6f4-b4ff10434671,Table Lamp,Home Decor,2.0,173.69,2024-06-18,Online,PayPal,0.0,347.38,2024-06
cb760249-a2a2-493a-9ffc-85ea73efecec,8f6feb91-c846-45af-bd71-8b7c23909296,Philips Hue Lights,Smart Home Devices,1.0,222.5,2024-11-08,Online,Debit Card,0.0,222.5,2024-11
0d50a336-b157-42cf-8d42-b4324b0677dd,b77212a9-915d-489e-8a2c-632d38185f57,Xiaomi Mi 12,Smartphones,2.0,564.78,2023-05-11,Online,Unknown Method,25.0,847.17,2023-05
5767d0d2-31d6-462f-9ce0-3f5906c72ed2,7c66381f-c96d-44c4-9987-677b42abe77c,Area Rug,Home Decor,1.0,130.76,2023-12-13,"Atlanta, GA",PayPal,0.0,130.76,2023-12
d301de80-f585-4164-8823-88aa582438ea,7cfeca41-a3f3-448c-9626-ff2f7ddf395e,Wall Art,Home Decor,1.0,293.11,2023-02-07,"Miami, FL",Cash,0.0,293.11,2023-02
